sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,162954,93761,0,585,0,0,40,210,1853,2091,0,0,0,2365,61909,140,3,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,152229,152229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,44,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,1634,0,0,0,0,0,0,0,0,13,0,20,0,70,18,0,0,0,1513,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,1055,0,0,374,0,0,0,0,0,0,103,56,0,522,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,153669,135958,0,0,15975,0,1054,0,76,0,63,0,18,20,291,14,34,38,162,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,14047,1029,0,0,3194,0,28,60,8446,0,0,0,0,19,0,1271,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,918,0,259,0,0,0,14,84,305,0,0,0,87,36,1,0,0,19,113,0,0,0,0,0
