sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AF,Afghanistan,country,South Asia,33.93911,67.709953,5349.47295107329,1986,139,93,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,35,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,2512.59248924181,1986,125290,42401,6603,12984,0,0,0,0,0,209,0,33360,0,21,4107,0,6381,5497,17233,2875,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,15935.3369436173,1986,10501,307,471,2125,54,1,0,823,377,0,0,62,49,141,279,1195,34,3508,1109,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,912.489614948854,1986,135,10,2,0,0,0,0,15,0,0,0,0,0,0,0,18,0,0,90,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,6991.62497011843,1986,925,118,99,9,35,0,0,21,122,0,1,0,7,15,55,336,189,37,70,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,6889.87420638548,1986,220,0,0,80,9,0,0,19,0,0,0,0,0,4,0,0,0,22,86,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,11918.7615973352,1986,213,0,0,0,5,0,0,0,7,181,0,0,0,1,1,18,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,14909.1201288187,1986,45183,664,4,4067,4548,2,159,7582,7818,10313,3,1354,238,372,2430,94,0,4238,1287,10,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,806.807777386296,1986,21601,957,2,316,50,0,446,2924,4041,2813,0,2419,171,1013,2610,88,3,357,3061,333,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,7337.75048410901,1986,1066,0,0,0,0,0,0,57,0,0,0,0,0,0,0,2,0,651,356,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,4765.99314985988,1986,3001,224,39,37,0,0,0,185,228,0,0,0,12,8,100,276,0,1291,601,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BD,Bangladesh,country,South Asia,23.684994,90.356331,7726.08236810151,1986,727,116,0,0,0,0,0,0,0,0,0,0,0,7,13,34,0,0,557,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,7059.7973527382,1986,4472,1,0,0,158,0,11,0,68,0,0,0,0,16,64,0,0,1836,2318,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,8756.58244872421,1986,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,4590.23310017964,1986,5257,0,24,5059,0,0,0,0,0,0,0,40,1,109,0,17,14,0,7,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BM,Bermuda,country,North America,32.321384,-64.75737,5888.78638678085,1986,1822,3,0,0,0,0,0,8,70,0,0,0,0,0,0,61,0,896,784,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,9944.37635195287,1986,3272,2007,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,1,1250,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,8348.23805504023,1986,405,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9049.02650876818,1986,83886,30680,0,20,0,0,5,0,0,1844,0,0,2,261,10134,119,0,243,40578,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,6977.12927970137,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BN,Brunei Darussalam,country,,4.535277,114.727669,11034.0503963671,1986,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,14,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1815.92058812445,1986,496,0,0,5,0,0,0,0,0,260,0,52,60,0,40,0,0,0,0,79,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,4295.01527641713,1986,5664,140,0,5500,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,6471.6021042316,1986,8889,8063,0,642,0,0,3,8,14,27,1,0,10,12,44,14,8,2,49,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,4608.68262493971,1986,2602,1044,1078,2,0,0,0,41,0,0,0,299,1,0,0,32,0,0,105,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,4857.04801778005,1986,15748,3345,6,4157,1,0,5,79,161,0,0,2945,14,288,1571,53,565,3014,109,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CA,Canada,country,North America,56.130366,-106.346771,6569.9656900332,1986,43769,648,7,1773,88,7,2,2426,2219,1173,51,27,1224,511,0,897,0,32057,659,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,8010.93339559655,1986,35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,5120.18211423596,1986,605,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,4106.89632716903,1986,256,125,0,110,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12130.9898083741,1986,19277,18010,0,28,0,0,0,0,0,0,0,330,3,261,95,0,0,290,260,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,9403.13526781859,1986,30177,487,38,48,4,0,0,466,5054,8359,0,1036,107,90,909,1940,0,4510,6499,630,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,9385.56461635879,1986,43,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CN,China,country,East Asia and Pacific,35.86166,104.195397,7635.73146549495,1986,98476,15800,0,0,5,0,0,0,18,51565,0,254,1,0,17587,0,0,1005,12240,1,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9697.38008812991,1986,95892,53719,0,504,2,0,0,8,3228,5342,0,655,3,232,15969,0,0,4985,9999,1246,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,8831.98666634045,1986,1634,0,0,0,0,0,0,0,0,13,0,20,0,70,18,0,0,0,1513,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,7926.70732761952,1986,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,5749.40097199762,1986,9631,5143,0,975,19,0,0,114,0,0,0,2741,11,24,221,1,12,370,12,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CK,Cook Islands,country,East Asia and Pacific,-21.236736,-159.777671,16499.8786979764,1986,3773,401,206,404,0,5,2,240,108,0,0,36,45,5,151,1368,3,554,248,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,9057.75596987565,1986,7341,7200,0,9,42,0,5,0,0,0,0,50,0,1,8,0,0,26,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4872.00148170953,1986,16679,11815,31,2206,0,0,0,183,18,2,1,868,99,214,764,4,647,415,59,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,7650.27747436683,1986,24133,1252,0,0,0,0,5,0,0,0,0,0,0,1,5584,323,0,0,16968,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,2889.06903558662,1986,8862,255,24,2530,283,0,10,20,29,33,0,4537,34,106,0,169,0,765,67,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,787.662806751068,1986,5076,110,0,10,0,0,0,0,0,823,0,5,67,29,117,25,31,0,201,3689,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,8504.46017854169,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,6293.36600771442,1986,69412,29753,139,8738,2,3,18,2798,295,5,40,2935,219,2257,119,718,65,20758,615,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,722.573390416747,1986,40433,6751,48,376,78,1,2026,5510,2974,745,3,8428,3955,2320,419,319,0,2495,3985,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,5523.39724718173,1986,19606,65,0,19064,0,0,11,51,14,0,0,0,0,80,3,172,0,0,146,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,6998.31318629249,1986,394,0,0,380,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,7341.87961911004,1986,8777,586,0,0,0,0,0,4,0,0,0,103,0,0,7,0,0,1,8076,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,9657.37098771894,1986,13844,11550,0,0,0,0,0,0,16,0,0,0,0,1,1,0,0,0,2276,0,0,0,0,0
